Personal_id,Nombre,Rut,Edad,Sexo,Tienda_id,Cargo
137,Danitza Castro,67978268-1,77,mujer,3,Empleado
138,Shantal Munoz,99070181-4,75,mujer,8,Empleado
139,Isidora Bravo,50042631-4,16,mujer,49,Empleado
140,Matias Pichulpil,99466469-7,23,hombre,38,Empleado
141,Kris Pena,36664523-3,12,mujer,5,Empleado
142,Rayen Contreras,44812887-3,70,mujer,39,Empleado
143,Yaritza Garcia,34643031-1,23,hombre,16,Empleado
144,Ivan Sarmiento,21759577-0,47,hombre,51,Empleado
145,Alexandra Carmona,32992512-9,86,mujer,18,Empleado
146,Mairin Romero,85553386-3,26,hombre,55,Empleado
147,Salom Orellana,45510769-5,83,hombre,97,Jefe
148,Constanza Loyola,45740927-3,19,mujer,75,Empleado
149,Alejandra Olguin,98849412-7,42,hombre,71,Empleado
150,Alonso Carrasco,42300579-3,84,hombre,100,Empleado
151,Cristobal Vallejos,84921010-6,90,mujer,12,Empleado
152,Macarena Munoz,51248373-9,54,hombre,16,Empleado
153,Andres Diaz,38628283-8,49,mujer,47,Jefe
154,Esteban Guzman,78662700-1,95,mujer,101,Empleado
155,Andrea Alburquenque,80703512-6,24,hombre,37,Empleado
156,Sofia Flores,37142311-7,83,hombre,101,Empleado
157,Katalina Gonzalez,97036167-7,17,mujer,66,Empleado
158,Jesus Gonzalez,53967694-6,72,hombre,29,Empleado
159,Antonia Olivares,23407008-8,51,hombre,27,Empleado
160,Isidora Pacheco,76494450-k,15,hombre,79,Empleado
161,Francisca Cayupan,56229978-5,43,hombre,85,Empleado
162,Emiliano Figueroa,40269415-7,57,mujer,51,Empleado
163,Alonso Dumont,80592689-9,18,hombre,76,Empleado
164,Amaro Mondaca,52576933-k,87,mujer,90,Empleado
165,Absalon Figueroa,71612139-9,32,mujer,13,Empleado
166,Antonia Ortega,23632306-4,94,hombre,28,Empleado
167,Josefa Alarcon,16413527-6,67,mujer,52,Jefe
168,Alonso Farias,77489819-0,98,mujer,57,Empleado
169,Matias Rodriguez,85301240-8,92,mujer,87,Empleado
170,Alonso Toro,53721649-2,59,mujer,70,Empleado
171,Andres Vergara,12655924-0,37,hombre,86,Empleado
172,Noemi Castro,79154026-7,15,hombre,19,Empleado
173,Adriana Jimenez,24115633-8,72,mujer,82,Empleado
174,Miguel Martinez,34917249-6,47,hombre,82,Empleado
175,Benjamin Cayul,85034590-2,94,hombre,79,Empleado
176,Ignacio Mardones,19680912-0,69,hombre,25,Empleado
177,Marcela Vargas,40455577-4,27,mujer,32,Empleado
178,Andres Painenao,81401624-2,64,mujer,80,Empleado
179,Gustavo Mena,40978316-3,95,mujer,60,Empleado
180,Anibal Contreras,77189827-0,19,hombre,22,Empleado
181,Javiera Vigouroux,13093741-1,38,hombre,61,Empleado
182,Arturo Calabrano,26123513-7,82,hombre,71,Empleado
183,Ignacio Huenuanca,12874915-2,28,hombre,31,Empleado
184,Josue Donoso,15623590-3,32,mujer,32,Empleado
185,Jesus Navarrete,45981588-0,44,hombre,43,Empleado
186,Aaron Cares,82003178-4,86,mujer,101,Empleado
187,Paz Munoz,29415476-0,75,hombre,27,Empleado
188,Antonia Elguezabal,38631846-8,88,mujer,89,Empleado
189,Kathalina San,61242043-2,45,mujer,15,Empleado
190,Ignacio Delgado,28954972-2,80,hombre,85,Empleado
191,Andres Abarca,88094734-6,14,hombre,25,Empleado
192,Alejandro Sarmiento,69163174-5,55,mujer,24,Empleado
193,Alexander Pena,53042462-6,64,mujer,1,Empleado
194,Samanta Marinao,81330568-2,60,hombre,44,Empleado
195,Paola Quezada,86679007-8,19,hombre,67,Empleado
196,Ignacio Barra,83896534-2,98,hombre,39,Empleado
197,Ariel Iturra,91210142-8,44,mujer,14,Empleado
198,Daniel Zuniga,72570829-7,62,hombre,46,Empleado
199,Catalina Jara,58044372-9,88,mujer,7,Empleado
200,Venecia Campos,40640800-0,71,hombre,27,Empleado
201,Fernanda Repol,73324033-4,84,mujer,32,Jefe
202,Ignacia Galvez,80549244-9,89,mujer,19,Empleado
203,Scarlett Pezoa,40070443-0,13,mujer,38,Empleado
204,Jessica Reyes,68377701-3,59,hombre,13,Empleado
205,De Rave,20228556-2,15,hombre,46,Empleado
206,Daniel Blanco,16264932-9,36,mujer,53,Empleado
207,Valentina Cancino,80580088-7,76,hombre,44,Empleado
208,Claudio Carreno,84167281-k,39,mujer,0,Empleado
209,Valentina Castillo,93044599-1,16,mujer,8,Empleado
210,Gustavo Castro,47922722-5,22,mujer,24,Empleado
211,Tamara Dealecio,41183684-3,50,mujer,101,Empleado
212,Carla Farias,94947578-6,57,hombre,56,Empleado
213,Fernanda Gajardo,33890329-4,59,mujer,46,Empleado
214,Paula Gajardo,91085975-7,17,hombre,44,Empleado
215,Isidora Garabito,96562711-1,95,mujer,10,Empleado
216,Ignacia Gomez,52392092-8,79,mujer,30,Empleado
217,Catalina Gonzalez,91938760-2,94,hombre,53,Empleado
218,Daniela Gutierrez,98518861-0,90,hombre,82,Empleado
219,Catalina Huentelaf,72275204-k,19,mujer,81,Empleado
220,Bryan Jorquera,70388205-6,79,hombre,5,Empleado
221,Diego Lopez,80924311-7,67,mujer,62,Empleado
222,Matias Maldonado,73031326-8,79,hombre,21,Jefe
223,Catalina Miranda,66970190-k,36,hombre,3,Empleado
224,Catari Monsalves,81641085-1,30,mujer,7,Empleado
225,Catalina Montero,17371278-2,92,mujer,46,Empleado
226,Fernanda Montero,72447098-k,35,mujer,22,Empleado
227,Matias Munoz,59161375-8,24,hombre,60,Empleado
228,Javiera Peralta,14106853-9,30,mujer,83,Jefe
229,Ariana Perez,94506083-2,57,hombre,46,Empleado
230,Joaquin Pinto,24878659-0,45,hombre,14,Empleado
231,Nelson Quezada,23937155-8,69,mujer,80,Empleado
232,Ignacio Quiroz,79407634-0,68,hombre,58,Empleado
233,Giancarlo Roblero,27083103-6,94,hombre,95,Empleado
234,Barbara Sanchez,77757931-2,35,hombre,98,Jefe
235,Paolo Silva,21290952-1,24,hombre,66,Empleado
236,Emilio Soto,79695896-0,89,hombre,7,Empleado
237,Yacyara Soza,89512502-4,22,hombre,75,Empleado
238,Jacob Torres,31256887-k,36,mujer,66,Empleado
239,Catalina Urquiza,46067685-1,83,mujer,58,Empleado
240,Alejandra Valdes,58143457-k,85,mujer,99,Empleado
241,Catalina Valencia,69719019-8,57,mujer,96,Jefe
242,Catalina Vasquez,81207716-3,49,hombre,40,Empleado
243,Juan Veas,92394961-5,22,hombre,76,Empleado
244,Yael Vera,99149710-2,91,hombre,74,Empleado
245,Karla Villablanca,92851961-9,63,hombre,67,Empleado
246,Diego Villegas,22637365-9,64,hombre,71,Empleado
247,Javiera Alarcon,41694611-6,68,mujer,59,Empleado
248,Vicente Alarcon,28231652-8,19,hombre,84,Empleado
249,Benjamin Ancacura,97321798-4,86,mujer,86,Empleado
250,Alan Armijo,35773530-0,47,mujer,10,Empleado
251,Daniela Arrao,73745994-2,50,hombre,31,Empleado
252,Kharla Astudillo,32644502-9,99,mujer,66,Empleado
253,Sayuri Bahamondes,62220169-0,85,hombre,51,Empleado
254,Dylan Campos,69020528-9,87,mujer,7,Empleado
255,Angelo Caniunir,62887150-7,12,mujer,94,Empleado
256,Nazaret Carreno,16687104-2,91,mujer,74,Empleado
257,Fabiano Carte,51630030-2,52,hombre,30,Empleado
258,Mateo Contreras,47249752-9,50,mujer,40,Empleado
259,Martina Cuevas,55868629-4,70,mujer,29,Empleado
260,Agustin Farias,75766984-6,36,mujer,4,Empleado
261,Isidora Galvez,32817993-8,30,hombre,11,Empleado
262,Gabriela Garay,83538271-0,22,hombre,54,Empleado
263,Valentina Gomez,80628376-2,48,hombre,45,Empleado
264,Bastian Lagos,44422964-0,35,hombre,43,Empleado
265,Esteban Leiva,31691559-0,72,mujer,13,Empleado
266,Barbara Lincopion,31457093-6,74,hombre,50,Empleado
267,Loreto Luna,61863167-2,48,mujer,3,Empleado
268,Matias Marillan,91051274-9,32,hombre,69,Empleado
269,Matias Momberg,81019249-6,96,mujer,28,Empleado
270,Benjamin Mondaca,75106425-k,85,hombre,77,Empleado
271,Andres Mora,52581344-4,34,mujer,6,Empleado
272,Josue Moreno,13700503-4,28,mujer,11,Empleado
273,Krishna Ordenez,45677093-2,31,hombre,12,Empleado
274,Iahn Oyarce,18912034-6,42,hombre,29,Empleado
275,Trinidad Peralta,22876040-4,16,mujer,8,Empleado
276,Constanza Quezada,29742884-5,51,hombre,57,Empleado
277,Genesis Ramirez,13295853-k,15,hombre,28,Empleado
278,Katherine Retamal,22252251-k,94,hombre,16,Empleado
279,Yamna Reyes,53642790-2,48,mujer,91,Jefe
280,Fernanda Salinas,83481742-k,85,hombre,37,Empleado
281,Benjamin Sanchez,84095044-1,78,hombre,72,Empleado
282,Francisca Sanchez,98544321-1,55,mujer,82,Empleado
283,Yaen Sanhueza,96404014-1,36,mujer,10,Empleado
284,Benjamin Soto,37731534-0,28,mujer,3,Empleado
285,Kathya Spedaletti,55676647-9,97,hombre,67,Jefe
286,Bastian Tapia,48766480-4,69,hombre,22,Empleado
287,Fernanda Vargas,15119459-1,16,hombre,10,Empleado
288,Camilo Zambrano,76849115-1,13,mujer,54,Empleado
289,Barbara Zuniga,15765031-9,10,hombre,10,Empleado
290,Camila Aburto,32726853-8,26,hombre,17,Empleado
291,Valentina Aliaga,59260036-6,96,hombre,77,Empleado
292,Camila Arancibia,19130484-5,36,hombre,17,Empleado
293,Javier Aravena,57325256-k,45,hombre,94,Empleado
294,Diego Arce,80356838-3,93,mujer,49,Empleado
295,Javiera Barrera,10119008-0,95,hombre,99,Jefe
296,Nayelit Brantes,57437538-k,41,hombre,86,Empleado
297,Tamara Candia,80092681-5,24,hombre,9,Empleado
298,Dania Carreno,40503382-8,29,mujer,44,Empleado
299,Constanza Castillo,14292252-5,55,hombre,35,Empleado
300,Constanza Diaz,24215497-5,72,hombre,90,Jefe
301,Jose Espina,60987705-7,19,mujer,55,Empleado
302,Rodrigo Figueroa,59959821-9,10,hombre,48,Empleado
303,Fernanda Gonzslez,97418193-2,77,hombre,14,Empleado
304,Daniela Habibe,88034198-7,36,hombre,42,Jefe
305,Gloria Herrera,56725663-4,66,hombre,80,Jefe
306,Thaira Hormazabal,54157127-2,74,mujer,9,Empleado
307,Kiomara Huinca,48979148-k,13,mujer,78,Jefe
308,Barbara Jara,30492842-5,21,mujer,101,Jefe
309,Javiera Jaramillo,84671162-7,48,mujer,31,Empleado
310,Maria Martinez,57342278-3,84,mujer,62,Empleado
311,Tiare Miranda,73540572-1,55,hombre,84,Jefe
312,Constanza Morales,48762156-0,80,hombre,68,Empleado
313,Sebastian Moya,58509457-9,89,mujer,26,Empleado
314,Fabian Munoz,58188294-7,12,mujer,6,Empleado
315,Valentina Munoz,25844754-9,58,hombre,27,Jefe
316,Lucas Nunez,29903675-8,95,hombre,54,Empleado
317,Vania Pena,66844166-1,45,hombre,18,Empleado
318,Dylan Perez,32273643-6,77,hombre,10,Empleado
319,Damary Pichulman,80353279-6,68,hombre,0,Jefe
320,Francisca Pinto,29622397-2,26,hombre,53,Empleado
321,Danae Poblete,78897889-8,94,mujer,29,Jefe
322,Paula Quintrel,58846331-1,60,mujer,75,Empleado
323,Camilo Roblero,71652443-4,78,mujer,62,Empleado
324,Vicente Saez,90243628-6,36,mujer,44,Empleado
325,Crichna Salazar,84081575-7,19,mujer,26,Empleado
326,Elias Sanzana,14114400-6,87,mujer,31,Empleado
327,Esteban Schroder,83905334-7,30,hombre,48,Empleado
328,Nicolas Soto,89146700-1,46,hombre,6,Empleado
329,Nicolas Urriola,29622980-6,20,mujer,24,Empleado
330,Aylin Valdes,20168747-0,69,mujer,1,Empleado
331,Damaris Venegas,38725184-7,30,hombre,55,Empleado
332,Benjamin Vera,28450511-5,96,mujer,66,Jefe
333,Monserrat Vidal,81018273-3,72,hombre,40,Empleado
334,Anais Aguirre,10742402-4,54,hombre,37,Jefe
335,Isaac Andrades,85384785-2,65,hombre,93,Jefe
336,Karina Araos,30001031-8,29,mujer,45,Empleado
337,Daniela Beroiza,48246125-5,67,mujer,71,Jefe
338,Carolina Brevis,48986292-1,41,mujer,69,Jefe
339,Camila Cabrera,93892863-0,55,hombre,36,Jefe
340,Valentina Campos,52179815-7,22,hombre,50,Empleado
341,Annais Caro,19706256-8,55,hombre,94,Jefe
342,Abraham Carreno,26196183-0,27,mujer,8,Empleado
343,Jael Cornejo,11271286-0,56,mujer,13,Empleado
344,Aaron Cornejo,48998776-7,78,mujer,25,Empleado
345,Matias Ferreira,95521769-1,47,hombre,50,Empleado
346,Matias Fuentes,55972471-8,32,hombre,14,Empleado
347,Alexandra Garay,95487734-5,58,hombre,81,Empleado
348,Yahir Garrido,63814706-8,43,hombre,58,Empleado
349,Justin Godoy,43597800-2,79,mujer,92,Jefe
350,Camila Gonzalez,95403427-5,10,mujer,85,Empleado
351,Natalia Henriquez,56914123-0,76,mujer,38,Jefe
352,Jorge Hidalgo,95623149-3,87,mujer,64,Empleado
353,Francisca Huenufil,37126798-0,47,mujer,60,Empleado
354,Maria Jilberto,92270331-0,17,mujer,39,Jefe
355,Cristhian Jimenez,46288331-5,94,mujer,70,Empleado
356,Isidora Jimenez,90505307-8,13,mujer,77,Empleado
357,Martin Leiva,95810168-6,73,hombre,65,Jefe
358,Martina Leiva,94006732-4,62,hombre,87,Empleado
359,Andres Lucero,61336127-8,81,hombre,79,Empleado
360,Gamadiel Marin,32142510-0,73,hombre,64,Jefe
361,Saad Sierra,21188032-5,18,mujer,81,Jefe
362,Teigan Phelps,64660903-8,29,mujer,85,Empleado
363,Chiara Howell,17677635-8,35,mujer,76,Jefe
364,Nishat Greig,21332506-k,42,mujer,58,Jefe
365,Niam Snider,36615636-4,50,hombre,2,Empleado
366,Tasnim Rutledge,30741496-1,57,hombre,56,Empleado
367,Henna Cantu,18970874-2,24,mujer,25,Empleado
368,Amira Wong,33491402-k,28,mujer,7,Jefe
369,Annaliese Ford,47342099-6,37,hombre,15,Empleado
370,Marco Waters,73815426-6,21,hombre,11,Empleado
371,Marian Spence,19528671-k,57,hombre,28,Empleado
372,Amy Sharples,51844875-7,38,hombre,100,Jefe
373,Eamonn Redfern,17327495-5,48,hombre,74,Jefe
374,Katarina Chang,82719046-2,54,hombre,54,Jefe
375,Annabelle Poole,79873843-7,40,hombre,45,Empleado
376,Donte Salgado,66227912-9,40,mujer,31,Jefe
377,Sufyan Rollins,44715611-3,44,hombre,46,Empleado
378,Gracey Day,71134226-5,18,mujer,2,Empleado
379,Otto Lindsay,89260929-2,25,hombre,82,Empleado
380,Murphy Melendez,72620651-1,26,hombre,9,Empleado
381,Marcel Mccarty,33908685-0,23,hombre,82,Empleado
382,Lowri Henry,94221380-8,35,mujer,22,Empleado
383,Juliet Goodman,15823641-9,43,mujer,19,Empleado
384,Winnie Bloom,39790970-0,38,hombre,68,Empleado
385,Baxter Bateman,14736236-6,46,mujer,34,Empleado
386,Huda Sullivan,17195049-k,20,mujer,2,Jefe
387,Ravi Avila,67710168-7,58,hombre,8,Empleado
388,Hamza Carson,21201270-k,22,hombre,89,Jefe
389,Faizaan Gilmour,16833235-1,44,mujer,87,Jefe
390,Saoirse Tang,32273167-1,54,hombre,53,Empleado
391,Harvey Marsden,90922919-7,35,mujer,10,Jefe
392,Ehsan Liu,60028335-9,19,mujer,50,Empleado
393,Orlaith Collier,52968708-7,60,mujer,5,Empleado
394,Marcia Berg,57689116-4,27,mujer,23,Jefe
395,Kamron Moran,10094201-1,39,mujer,19,Jefe
396,Colin Rosario,85779616-0,24,mujer,63,Jefe
397,Darrell Barnes,15683276-6,20,hombre,59,Empleado
398,Akbar Healy,14825989-5,50,hombre,25,Empleado
399,Valentino Gilliam,65207641-6,26,hombre,40,Jefe
400,Damien Barnard,34761062-3,40,mujer,59,Jefe
401,Jenna Wyatt,93600353-2,52,hombre,79,Empleado
402,Chenai Lynch,61627352-3,33,mujer,41,Jefe
403,Cleo Parsons,33917878-k,23,hombre,49,Jefe
404,Meerab Shields,81311438-0,40,hombre,18,Empleado
405,Asia Byers,16506263-9,54,mujer,95,Jefe
406,Teejay Leon,48849361-2,45,hombre,62,Empleado
407,Kelsie Vickers,23684561-3,29,hombre,62,Empleado
408,Elisabeth Pickett,12842111-4,36,mujer,79,Jefe
409,Tehya Curry,46524982-k,48,hombre,34,Jefe
410,Nabila Silva,54556015-1,40,mujer,70,Empleado
411,Kaira Frey,22240154-2,52,mujer,3,Jefe
412,Lila Barron,72478850-5,59,mujer,53,Jefe
413,Xander Goodwin,25107105-5,22,mujer,82,Jefe
414,Lexi Cairns,69768825-0,45,hombre,9,Jefe
415,Keyan Rigby,42644643-k,53,hombre,50,Jefe
416,Donald Gordon,54004386-8,53,mujer,30,Empleado
417,Kaylen Yoder,55514185-8,34,hombre,72,Jefe
418,Rehaan Acosta,34762796-8,40,hombre,61,Empleado
419,Ahsan Moyer,55422937-9,35,hombre,18,Empleado
420,Simrah Begum,11636170-1,18,mujer,68,Jefe
421,Rio Haas,45453849-8,30,hombre,86,Empleado
422,Dannielle Power,84539370-2,59,hombre,75,Empleado
423,Adam Delarosa,96900689-8,26,hombre,13,Jefe
424,Yousif Mccullough,44281327-2,34,hombre,35,Jefe
425,Zakary Ingram,74580276-1,21,mujer,46,Empleado
426,Jordana Haley,78160098-9,23,mujer,25,Empleado
427,Kavan Holder,65346159-3,42,mujer,55,Jefe
428,Kieren Peck,72800848-2,49,hombre,22,Jefe
429,Fiona Estrada,79757833-9,41,mujer,8,Jefe
430,Esme-Rose Sargent,79459402-3,41,mujer,48,Jefe
431,Kathy Leal,80921370-6,35,mujer,6,Empleado
432,Hassan Gilmore,90172937-9,23,mujer,17,Empleado
433,Rose Larsen,47942200-1,52,hombre,44,Jefe
434,Jorge Tillman,42538060-5,22,hombre,25,Empleado
435,Devonte Needham,70582800-8,56,mujer,56,Jefe
436,Fahad Richmond,14982281-k,23,mujer,86,Empleado
437,Kynan Benson,90155266-5,56,hombre,4,Jefe
438,Maison Rhodes,96951878-3,23,mujer,12,Jefe
439,Cai Woodward,72159761-k,32,mujer,25,Jefe
440,Dania Neal,72430402-8,23,hombre,6,Jefe
441,Irene Contreras,66045545-0,56,hombre,17,Jefe
442,Briony Whelan,91231636-k,37,hombre,75,Jefe
443,Vishal Merrill,86516801-2,49,hombre,1,Jefe
444,Brad Stewart,64750606-2,42,mujer,60,Jefe
445,Mina Dougherty,90966759-3,26,mujer,85,Jefe
446,Phebe Braun,31111145-0,55,hombre,45,Jefe
447,Murray Britton,16792411-5,56,mujer,57,Jefe
448,Jaxx Blaese,58765828-3,19,hombre,11,Empleado
449,Una Glenn,42216276-3,40,hombre,30,Jefe
450,Luke Hills,91844038-0,48,hombre,14,Jefe
451,Yasser Wilkins,43926456-k,47,hombre,16,Jefe
452,Emir Bird,13965853-1,40,hombre,70,Empleado
453,Reema Page,14343597-0,45,hombre,43,Empleado
454,Nigel Dickens,41966463-4,36,mujer,77,Jefe
455,Priyanka Navarro,21219682-7,43,hombre,86,Jefe
456,Dina Clark,95541523-k,23,hombre,11,Jefe
457,Ali Childs,68208732-3,56,mujer,70,Jefe
458,Ava-Rose O'Ryan,43831962-k,60,hombre,51,Jefe
459,Talitha Mcloughlin,22234852-8,60,hombre,46,Jefe
460,Lily-Anne Patel,39089742-1,36,mujer,28,Jefe
461,Keane Morrison,92696219-1,28,mujer,43,Jefe
462,Mayson Baird,69568679-k,48,hombre,15,Jefe
